gene	log2FC	padj	dataset
ABCF1	-0.0148027	0.999906	OLD_GSE52778
ABCF2	-0.371523	0.999906	OLD_GSE52778
ABCF3	0.0641856	0.999906	OLD_GSE52778
ABCG1	-0.697702	0.999906	OLD_GSE52778
ABCG2	0.503872	1	OLD_GSE52778
ABCG4	0.0896296	1	OLD_GSE52778
ABCG5	0	1	OLD_GSE52778
ABCG8	-1.79769e+308	1	OLD_GSE52778
ABHD1	0.719898	1	OLD_GSE52778
ABHD10	0.70323	0.917908	OLD_GSE52778
ABHD11	0.654111	0.999906	OLD_GSE52778
ABHD11-AS1	0.272131	0.999906	OLD_GSE52778
ABHD12	-0.271461	0.999906	OLD_GSE52778
ABHD12B	0.431483	1	OLD_GSE52778
ABHD13	-0.248028	0.999906	OLD_GSE52778
ABHD14A	0.0125218	0.999906	OLD_GSE52778
ABHD14A-ACY1	-10.8601	0.999906	OLD_GSE52778
ABHD14B	-0.221707	0.999906	OLD_GSE52778
ABHD15	-0.67382	0.849038	OLD_GSE52778
ABHD16A	-0.0735585	0.999906	OLD_GSE52778
ABHD16B	0.103126	0.999906	OLD_GSE52778
ABHD2	-0.423348	0.999906	OLD_GSE52778
ABHD3	-0.864512	0.999906	OLD_GSE52778
ABHD4	0.176855	0.999906	OLD_GSE52778
ABHD5	-1.16159	0.0143408	OLD_GSE52778
ABHD6	-0.56118	0.999906	OLD_GSE52778
ABHD8	0.010618	0.999906	OLD_GSE52778
ABI1	-0.130772	0.999906	OLD_GSE52778
ABI2	0.265116	0.999906	OLD_GSE52778
ABI3	0.730983	1	OLD_GSE52778
ABI3BP	-0.175163	0.999906	OLD_GSE52778
ABL1	0.097348	0.999906	OLD_GSE52778
ABL2	-0.474513	0.999906	OLD_GSE52778
ABLIM1	-1.38232	0.00693894	OLD_GSE52778
ABLIM2	-3.05326	1	OLD_GSE52778
ABLIM3	0.197475	0.999906	OLD_GSE52778
ABO	0	1	OLD_GSE52778
ABP1	0	1	OLD_GSE52778
ABR	0.421052	0.999906	OLD_GSE52778
ABRA	-1.79769e+308	1	OLD_GSE52778
ABT1	-0.0573382	0.999906	OLD_GSE52778
ABTB1	-0.617198	0.999906	OLD_GSE52778
ABTB2	-0.300691	0.999906	OLD_GSE52778
ACAA1	-0.0888646	0.999906	OLD_GSE52778
ACAA2	-0.254133	0.999906	OLD_GSE52778
ACACA	0.158189	0.999906	OLD_GSE52778
ACACB	-0.369433	0.999906	OLD_GSE52778
ACAD10	0.0197139	0.999906	OLD_GSE52778
ACAD11	0.54687	0.999906	OLD_GSE52778
ACAD8	-0.0462065	0.999906	OLD_GSE52778
ACAD9	0.0653674	0.999906	OLD_GSE52778
ACADL	-0.558819	1	OLD_GSE52778
ACADM	-0.365462	0.999906	OLD_GSE52778
ACADS	-1.11879	0.0849165	OLD_GSE52778
ACADSB	-0.337646	0.999906	OLD_GSE52778
ACADVL	0.0793196	0.999906	OLD_GSE52778
ACAN	-1.03583	0.728301	OLD_GSE52778
ACAP1	0.0448811	1	OLD_GSE52778
ACAP2	0.229323	0.999906	OLD_GSE52778
ACAP3	0.385207	0.999906	OLD_GSE52778
ACAT1	-0.127506	0.999906	OLD_GSE52778
ACAT2	-0.273982	0.999906	OLD_GSE52778
ACBD3	-0.0513995	0.999906	OLD_GSE52778
ACBD4	-0.115276	0.999906	OLD_GSE52778
ACBD5	0.0386673	0.999906	OLD_GSE52778
ACBD6	0.34294	0.999906	OLD_GSE52778
ACBD7	-0.386646	1	OLD_GSE52778
ACCN1	2.02432	1	OLD_GSE52778
ACCN2	0.359981	0.999906	OLD_GSE52778
ACCN3	-0.449787	0.999906	OLD_GSE52778
ACCN4	1.79769e+308	1	OLD_GSE52778
ACCN5	1.79769e+308	1	OLD_GSE52778
ACCS	-0.0228103	0.999906	OLD_GSE52778
ACCSL	0	1	OLD_GSE52778
ACD	0.0716476	0.999906	OLD_GSE52778
ACE	-0.0290623	0.999906	OLD_GSE52778
ACE2	-1.79769e+308	1	OLD_GSE52778
ACER1	-1.79769e+308	1	OLD_GSE52778
ACER2	0.523317	0.999906	OLD_GSE52778
ACER3	-0.878938	0.704336	OLD_GSE52778
ACHE	0.66385	1	OLD_GSE52778
ACIN1	0.231518	0.999906	OLD_GSE52778
ACLY	-0.190904	0.999906	OLD_GSE52778
ACMSD	0	1	OLD_GSE52778
ACN9	-0.0291048	0.999906	OLD_GSE52778
ACO1	-0.0341292	0.999906	OLD_GSE52778
ACO2	-0.139231	0.999906	OLD_GSE52778
ACOT1	-0.920889	0.999906	OLD_GSE52778
ACOT11	0.2275	0.999906	OLD_GSE52778
ACOT12	1.81001	0.999906	OLD_GSE52778
ACOT13	0.415028	0.999906	OLD_GSE52778
ACOT2	-0.723703	0.903813	OLD_GSE52778
ACOT4	-1.34945	0.999906	OLD_GSE52778
ACOT6	1.79769e+308	1	OLD_GSE52778
ACOT7	0.0118081	0.999906	OLD_GSE52778
ACOT8	0.0994123	0.999906	OLD_GSE52778
ACOT9	-0.404601	0.999906	OLD_GSE52778
ACOX1	0.111579	0.999906	OLD_GSE52778
ACOX2	0.298489	0.999906	OLD_GSE52778
ACOX3	-0.00683559	0.999906	OLD_GSE52778
ACOXL	0.799154	1	OLD_GSE52778
ACP1	-0.124408	0.999906	OLD_GSE52778
ACP2	-0.424179	0.999906	OLD_GSE52778
ACP5	1.45411	0.999906	OLD_GSE52778
ACP6	0.205587	0.999906	OLD_GSE52778
ACPL2	0.84809	0.632856	OLD_GSE52778
ACPP	0.505578	1	OLD_GSE52778
ACPT	1.79769e+308	1	OLD_GSE52778
ACR	0.623468	1	OLD_GSE52778
ACRBP	0.504421	1	OLD_GSE52778
ACRC	-0.258531	0.999906	OLD_GSE52778
ACRV1	1.00612	1	OLD_GSE52778
ACSBG1	-0.206039	1	OLD_GSE52778
ACSBG2	2.4439	1	OLD_GSE52778
ACSF2	-0.138845	0.999906	OLD_GSE52778
ACSF3	-0.122503	0.999906	OLD_GSE52778
ACSL1	-1.60884	9.93102e-05	OLD_GSE52778
ACSL3	0.499667	0.999906	OLD_GSE52778
ACSL4	0.301025	0.999906	OLD_GSE52778
ACSL5	0.146102	0.999906	OLD_GSE52778
ACSL6	-0.120723	1	OLD_GSE52778
ACSM1	0	1	OLD_GSE52778
ACSM2A	0	1	OLD_GSE52778
ACSM2B	0	1	OLD_GSE52778
ACSM3	0.631248	1	OLD_GSE52778
ACSM4	0	1	OLD_GSE52778
ACSM5	1.79769e+308	1	OLD_GSE52778
ACSS1	-1.94404	0.000133503	OLD_GSE52778
ACSS2	-0.276253	0.999906	OLD_GSE52778
ACSS3	-0.110835	0.999906	OLD_GSE52778
ACTA1	-0.720247	1	OLD_GSE52778
ACTA2	-1.20529	0.0849886	OLD_GSE52778
ACTB	-0.967893	0.997621	OLD_GSE52778
ACTBL2	-1.79769e+308	1	OLD_GSE52778
ACTC1	-0.216485	1	OLD_GSE52778
ACTG1	-0.639558	0.999906	OLD_GSE52778
ACTG2	-1.98853	0.000329086	OLD_GSE52778
ACTL10	-0.472647	0.999906	OLD_GSE52778
ACTL6A	-0.0155791	0.999906	OLD_GSE52778
ACTL6B	0	1	OLD_GSE52778
ACTL7A	0	1	OLD_GSE52778
ACTL7B	1.79769e+308	1	OLD_GSE52778
ACTL8	2.54361	1	OLD_GSE52778
ACTL9	0	1	OLD_GSE52778
ACTN1	-0.475591	0.999906	OLD_GSE52778
ACTN2	-0.959372	1	OLD_GSE52778
ACTN3	-0.311187	1	OLD_GSE52778
ACTN4	-0.856328	0.436206	OLD_GSE52778
ACTR10	-0.0486616	0.999906	OLD_GSE52778
ACTR1A	-0.165049	0.999906	OLD_GSE52778
ACTR1B	-0.0958016	0.999906	OLD_GSE52778
ACTR2	-0.265426	0.999906	OLD_GSE52778
ACTR3	-0.554805	0.893857	OLD_GSE52778
ACTR3B	0.0910756	0.999906	OLD_GSE52778
ACTR3BP2	0	1	OLD_GSE52778
ACTR3BP5	-1.79769e+308	1	OLD_GSE52778
ACTR3C	1.18042	1	OLD_GSE52778
ACTR5	-0.018661	0.999906	OLD_GSE52778
ACTR6	-0.046906	0.999906	OLD_GSE52778
ACTR8	0.11632	0.999906	OLD_GSE52778
ACTRT1	0	1	OLD_GSE52778
ACTRT2	0	1	OLD_GSE52778
ACVR1	0.0387036	0.999906	OLD_GSE52778
ACVR1B	0	1	OLD_GSE52778
ACVR1C	1.40364	1	OLD_GSE52778
ACVR2A	-0.00765803	0.999906	OLD_GSE52778
ACVR2B	0.0598985	0.999906	OLD_GSE52778
ACVRL1	-0.885083	0.313319	OLD_GSE52778
ACY1	0.133762	0.999906	OLD_GSE52778
ACY3	0	1	OLD_GSE52778
ACYP1	0.386838	0.999906	OLD_GSE52778
ACYP2	-0.192697	0.999906	OLD_GSE52778
ADA	0.664215	0.999906	OLD_GSE52778
ADAD1	0	1	OLD_GSE52778
ADAD2	0	1	OLD_GSE52778
ADAL	0.235572	0.999906	OLD_GSE52778
ADAM1	-0.206807	0.999906	OLD_GSE52778
ADAM10	-0.0212638	0.999906	OLD_GSE52778
ADAM11	0.645243	0.999906	OLD_GSE52778
ADAM12	1.81355	0.000541607	OLD_GSE52778
ADAM15	-0.0392061	0.999906	OLD_GSE52778
ADAM17	-0.501221	0.999906	OLD_GSE52778
ADAM18	0	1	OLD_GSE52778
ADAM19	-0.544114	0.999906	OLD_GSE52778
ADAM2	0	1	OLD_GSE52778
ADAM20	-0.120822	1	OLD_GSE52778
ADAM21	0.682795	1	OLD_GSE52778
ADAM21P1	0.674862	1	OLD_GSE52778
ADAM22	0.317057	1	OLD_GSE52778
ADAM23	-0.39696	0.999906	OLD_GSE52778
ADAM28	-0.547998	1	OLD_GSE52778
ADAM29	1.79769e+308	1	OLD_GSE52778
ADAM30	0	1	OLD_GSE52778
ADAM32	-0.718483	1	OLD_GSE52778
ADAM33	0.123361	0.999906	OLD_GSE52778
ADAM3A	0	1	OLD_GSE52778
ADAM5P	0	1	OLD_GSE52778
ADAM6	0	1	OLD_GSE52778
ADAM7	0	1	OLD_GSE52778
ADAM8	0.379488	1	OLD_GSE52778
ADAM9	-0.0589538	0.999906	OLD_GSE52778
ADAMDEC1	0.923551	1	OLD_GSE52778
ADAMTS1	-2.3084	4.13346e-05	OLD_GSE52778
ADAMTS10	0.241436	0.999906	OLD_GSE52778
ADAMTS12	0.0653126	0.999906	OLD_GSE52778
ADAMTS13	-0.0880891	0.999906	OLD_GSE52778
ADAMTS14	2.37798	2.11598e-05	OLD_GSE52778
ADAMTS15	-0.553851	0.944178	OLD_GSE52778
ADAMTS16	2.33783	1	OLD_GSE52778
ADAMTS17	-1.04244	1	OLD_GSE52778
ADAMTS18	0	1	OLD_GSE52778
ADAMTS19	2.02889	1	OLD_GSE52778
ADAMTS2	-0.675994	0.999906	OLD_GSE52778
ADAMTS20	0	1	OLD_GSE52778
ADAMTS3	-0.512052	0.999906	OLD_GSE52778
ADAMTS4	-0.130617	0.999906	OLD_GSE52778
ADAMTS5	-2.10383	6.35828e-07	OLD_GSE52778
ADAMTS6	0.349159	0.999906	OLD_GSE52778
ADAMTS7	-0.809365	0.264846	OLD_GSE52778
ADAMTS8	-0.154866	0.999906	OLD_GSE52778
ADAMTS9	-0.750949	1	OLD_GSE52778
ADAMTS9-AS2	-0.295201	0.999906	OLD_GSE52778
ADAMTSL1	0.950883	0.718794	OLD_GSE52778
ADAMTSL2	0.458754	1	OLD_GSE52778
ADAMTSL3	-0.0897809	1	OLD_GSE52778
ADAMTSL4	-0.910663	0.197611	OLD_GSE52778
ADAMTSL5	-0.287324	0.999906	OLD_GSE52778
ADAP1	-2.42519	0.193967	OLD_GSE52778
ADAP2	0.875497	0.999906	OLD_GSE52778
ADAR	0.0986911	0.999906	OLD_GSE52778
ADARB1	-2.36609	1.19237e-06	OLD_GSE52778
ADARB2	-1.79769e+308	1	OLD_GSE52778
ADARB2-AS1	0	1	OLD_GSE52778
ADAT1	0.234793	0.999906	OLD_GSE52778
ADAT2	1.12351	0.644148	OLD_GSE52778
ADAT3	-0.47249	0.999906	OLD_GSE52778
ADC	0.359726	0.999906	OLD_GSE52778
ADCK1	0.191657	0.999906	OLD_GSE52778
ADCK2	-0.550078	0.999906	OLD_GSE52778
ADCK3	0.331619	0.999906	OLD_GSE52778
ADCK4	0.159547	0.999906	OLD_GSE52778
ADCK5	-0.030513	0.999906	OLD_GSE52778
ADCY1	2.26937	0.0031153	OLD_GSE52778
ADCY10	0.443363	1	OLD_GSE52778
ADCY2	0.427403	1	OLD_GSE52778
ADCY3	-0.588705	0.999906	OLD_GSE52778
ADCY4	1.6286	0.843864	OLD_GSE52778
ADCY5	-0.298527	0.999906	OLD_GSE52778
ADCY6	-0.125217	0.999906	OLD_GSE52778
ADCY7	-0.0707252	0.999906	OLD_GSE52778
ADCY8	4.50031	0.0650642	OLD_GSE52778
ADCY9	-0.143171	0.999906	OLD_GSE52778
ADCYAP1	0	1	OLD_GSE52778
ADCYAP1R1	1.79769e+308	1	OLD_GSE52778
ADD1	-0.222405	0.999906	OLD_GSE52778
ADD2	0	1	OLD_GSE52778
ADD3	0.0230196	0.999906	OLD_GSE52778
ADGB	0	1	OLD_GSE52778
ADH1A	-2.01907	0.40016	OLD_GSE52778
ADH1B	-1.14799	0.352272	OLD_GSE52778
ADH1C	-1.07383	0.617527	OLD_GSE52778
ADH4	-1.50447	1	OLD_GSE52778
ADH5	-0.307864	0.999906	OLD_GSE52778
ADH6	-0.743656	0.999906	OLD_GSE52778
ADH7	0.0940866	1	OLD_GSE52778
ADHFE1	-1.40849	0.091846	OLD_GSE52778
ADI1	-0.564522	0.860027	OLD_GSE52778
ADIG	0	1	OLD_GSE52778
ADIPOQ	1.79769e+308	1	OLD_GSE52778
ADIPOR1	-0.3629	0.999906	OLD_GSE52778
ADIPOR2	-0.227351	0.999906	OLD_GSE52778
ADK	0.133209	0.999906	OLD_GSE52778
ADM	-0.745752	0.744736	OLD_GSE52778
ADM2	2.55548	0.28053	OLD_GSE52778
ADNP	0.229347	0.999906	OLD_GSE52778
ADNP2	-0.0442322	0.999906	OLD_GSE52778
ADO	0.0613272	0.999906	OLD_GSE52778
ADORA1	1.56983	0.999906	OLD_GSE52778
ADORA2A	-1.0107	1	OLD_GSE52778
ADORA2B	0.55132	0.999906	OLD_GSE52778
ADORA3	1.46953	1	OLD_GSE52778
ADPGK	-0.0959962	0.999906	OLD_GSE52778
ADPRH	-0.301688	0.999906	OLD_GSE52778
ADPRHL1	0.304591	0.999906	OLD_GSE52778
ADPRHL2	-0.0399513	0.999906	OLD_GSE52778
ADRA1A	1.79769e+308	1	OLD_GSE52778
ADRA1B	-3.93028	3.08223e-07	OLD_GSE52778
ADRA1D	0.413615	0.999906	OLD_GSE52778
ADRA2A	2.15695	0.151298	OLD_GSE52778
ADRA2B	-0.419871	1	OLD_GSE52778
ADRA2C	-0.970463	1	OLD_GSE52778
ADRB1	0	1	OLD_GSE52778
ADRB2	0.207202	1	OLD_GSE52778
ADRB3	1.79769e+308	1	OLD_GSE52778
ADRBK1	-0.194702	0.999906	OLD_GSE52778
ADRBK2	0.312005	0.999906	OLD_GSE52778
ADRM1	-0.171934	0.999906	OLD_GSE52778
ADSL	-0.119889	0.999906	OLD_GSE52778
ADSS	0.197646	0.999906	OLD_GSE52778
ADSSL1	0.737872	0.999906	OLD_GSE52778
ADTRP	0.946036	1	OLD_GSE52778
AEBP1	0.055975	0.999906	OLD_GSE52778
AEBP2	0.290598	0.999906	OLD_GSE52778
AEN	0.115641	0.999906	OLD_GSE52778
AES	-0.358428	0.999906	OLD_GSE52778
AFAP1	0.606711	0.727294	OLD_GSE52778
AFAP1-AS1	1.16161	1	OLD_GSE52778
AFAP1L1	-1.71966	0.00124908	OLD_GSE52778
AFAP1L2	2.06571	1	OLD_GSE52778
AFF1	0.0838725	0.999906	OLD_GSE52778
AFF2	0.758689	1	OLD_GSE52778
AFF3	1.54454	1	OLD_GSE52778
AFF4	0.0113787	0.999906	OLD_GSE52778
AFG3L1P	0.207765	0.999906	OLD_GSE52778
AFG3L2	-0.279095	0.999906	OLD_GSE52778
AFM	0	1	OLD_GSE52778
AFMID	-0.300803	0.999906	OLD_GSE52778
AFP	0.540207	1	OLD_GSE52778
AFTPH	-0.0265747	0.999906	OLD_GSE52778
AGA	0.267382	0.999906	OLD_GSE52778
AGAP1	0.00460073	0.999906	OLD_GSE52778
AGAP11	0.603555	0.999906	OLD_GSE52778
AGAP2	-0.710136	1	OLD_GSE52778
AGAP3	-0.183977	0.999906	OLD_GSE52778
AGAP4	0.245526	0.999906	OLD_GSE52778
AGAP5	0.199336	0.999906	OLD_GSE52778
AGAP6	-0.0865679	0.999906	OLD_GSE52778
AGAP7	0.0396389	0.999906	OLD_GSE52778
AGAP8	0.0775204	0.999906	OLD_GSE52778
AGAP9	0.226594	0.999906	OLD_GSE52778
AGBL1	0	1	OLD_GSE52778
AGBL2	-0.233848	1	OLD_GSE52778
AGBL3	0.138517	1	OLD_GSE52778
AGBL4	0	1	OLD_GSE52778
AGBL5	0.132518	0.999906	OLD_GSE52778
AGER	0.0972769	1	OLD_GSE52778
AGFG1	-0.412632	0.999906	OLD_GSE52778
AGFG2	0.132666	0.999906	OLD_GSE52778
AGGF1	-0.0297992	0.999906	OLD_GSE52778
AGK	-0.12013	0.999906	OLD_GSE52778
AGL	-0.350598	0.999906	OLD_GSE52778
AGMAT	-0.0755525	1	OLD_GSE52778
AGMO	3.4724	1	OLD_GSE52778
AGPAT1	-0.2028	0.999906	OLD_GSE52778
AGPAT2	-0.62895	0.999906	OLD_GSE52778
AGPAT3	-0.104588	0.999906	OLD_GSE52778
AGPAT4	0.0784305	0.999906	OLD_GSE52778
AGPAT4-IT1	0.525312	0.999906	OLD_GSE52778
AGPAT5	-0.521185	0.999906	OLD_GSE52778
AGPAT6	0.0181115	0.999906	OLD_GSE52778
AGPAT9	-1.11965	0.890897	OLD_GSE52778
AGPHD1	-0.0140795	0.999906	OLD_GSE52778
AGPS	-0.154908	0.999906	OLD_GSE52778
AGR2	0	1	OLD_GSE52778
AGR3	0	1	OLD_GSE52778
AGRN	0.179166	0.999906	OLD_GSE52778
AGRP	-1.68356	1	OLD_GSE52778
AGSK1	-0.0874267	1	OLD_GSE52778
AGT	0.892923	0.427703	OLD_GSE52778
AGTPBP1	-0.242829	0.999906	OLD_GSE52778
AGTR1	-1.22496	0.965687	OLD_GSE52778
AGTR2	0	1	OLD_GSE52778
AGTRAP	-1.11939	0.0671676	OLD_GSE52778
AGXT	0	1	OLD_GSE52778
AGXT2	0	1	OLD_GSE52778
AGXT2L1	-1.79769e+308	1	OLD_GSE52778
AGXT2L2	0.0225482	0.999906	OLD_GSE52778
AHCTF1	-1.32549	0.00568897	OLD_GSE52778
AHCY	-0.0839565	0.999906	OLD_GSE52778
AHCYL1	-0.141703	0.999906	OLD_GSE52778
AHCYL2	0.707362	0.791626	OLD_GSE52778
AHDC1	0.627543	0.880566	OLD_GSE52778
AHI1	0.493021	0.999906	OLD_GSE52778
AHNAK	-0.338865	0.999906	OLD_GSE52778
AHNAK2	0.515767	0.999906	OLD_GSE52778
AHR	0.184005	0.999906	OLD_GSE52778
AHRR	0.387748	0.999906	OLD_GSE52778
AHSA1	-0.20025	0.999906	OLD_GSE52778
AHSA2	-0.119626	0.999906	OLD_GSE52778
AHSG	1.79769e+308	1	OLD_GSE52778
AHSP	0	1	OLD_GSE52778
AICDA	-0.0692361	1	OLD_GSE52778
AIDA	-0.397001	0.999906	OLD_GSE52778
AIF1	-0.891997	1	OLD_GSE52778
AIF1L	2.72646	0.00619066	OLD_GSE52778
AIFM1	-0.00409089	0.999906	OLD_GSE52778
AIFM2	-0.718187	0.928019	OLD_GSE52778
AIFM3	-0.551322	1	OLD_GSE52778
AIG1	0.379546	0.999906	OLD_GSE52778
AIM1	-0.728551	0.838001	OLD_GSE52778
AIM1L	0	1	OLD_GSE52778
AIM2	0	1	OLD_GSE52778
AIMP1	0.0286744	0.999906	OLD_GSE52778
AIMP2	-0.260212	0.999906	OLD_GSE52778
AIP	-0.0953211	0.999906	OLD_GSE52778
AIPL1	0	1	OLD_GSE52778
AIRE	0	1	OLD_GSE52778
AJAP1	0	1	OLD_GSE52778
AJUBA	0.324595	0.999906	OLD_GSE52778
AK1	0.290092	0.999906	OLD_GSE52778
AK2	-0.0730168	0.999906	OLD_GSE52778
AK3	-0.0582778	0.999906	OLD_GSE52778
AK4	-0.0227435	0.999906	OLD_GSE52778
AK5	-0.959016	0.174404	OLD_GSE52778
AK7	-0.308124	1	OLD_GSE52778
AK8	-0.0874488	0.999906	OLD_GSE52778
AKAP1	-0.252781	0.999906	OLD_GSE52778
AKAP10	-0.109012	0.999906	OLD_GSE52778
AKAP11	0.0465952	0.999906	OLD_GSE52778
AKAP12	1.03002	0.748244	OLD_GSE52778
AKAP13	-0.667042	0.797928	OLD_GSE52778
AKAP14	-1.79769e+308	1	OLD_GSE52778
AKAP17A	0.00654119	0.999906	OLD_GSE52778
AKAP2	-1.14697	0.0524102	OLD_GSE52778
AKAP3	0.514209	1	OLD_GSE52778
AKAP4	0	1	OLD_GSE52778
AKAP5	-0.430316	1	OLD_GSE52778
AKAP6	-0.635937	0.999906	OLD_GSE52778
AKAP7	-1.00388	0.981319	OLD_GSE52778
AKAP8	-0.264045	0.999906	OLD_GSE52778
AKAP8L	0.121669	0.999906	OLD_GSE52778
AKAP9	-0.111884	0.999906	OLD_GSE52778
AKD1	0.633552	0.999906	OLD_GSE52778
AKIP1	-0.101957	0.999906	OLD_GSE52778
AKIRIN1	-0.303369	0.999906	OLD_GSE52778
AKIRIN2	0.0140812	0.999906	OLD_GSE52778
AKIRIN2-AS1	0.664558	0.999906	OLD_GSE52778
AKNA	0.74376	0.639126	OLD_GSE52778
AKNAD1	-1.10923	1	OLD_GSE52778
AKR1A1	0.107924	0.999906	OLD_GSE52778
AKR1B1	0.449628	0.999906	OLD_GSE52778
AKR1B10	0.98529	0.999906	OLD_GSE52778
AKR1B15	8.42144	1	OLD_GSE52778
AKR1C1	-1.06402	0.147929	OLD_GSE52778
AKR1C2	-0.275597	0.999906	OLD_GSE52778
AKR1C3	0.678905	0.611555	OLD_GSE52778
AKR1C4	-0.104175	1	OLD_GSE52778
AKR1CL1	0	1	OLD_GSE52778
AKR1D1	0	1	OLD_GSE52778
AKR1E2	-0.151839	0.999906	OLD_GSE52778
AKR7A2	-0.124869	0.999906	OLD_GSE52778
AKR7A2P1	-0.544947	0.999906	OLD_GSE52778
AKR7A3	-0.0863084	1	OLD_GSE52778
AKR7L	-0.63578	1	OLD_GSE52778
AKT1	-0.231154	0.999906	OLD_GSE52778
AKT1S1	0.029315	0.999906	OLD_GSE52778
AKT2	0.173181	0.999906	OLD_GSE52778
AKT3	-0.242047	0.999906	OLD_GSE52778
AKTIP	-0.0205582	0.999906	OLD_GSE52778
ALAD	-0.0396785	0.999906	OLD_GSE52778
ALAS1	0.224556	0.999906	OLD_GSE52778
ALAS2	1.79769e+308	1	OLD_GSE52778
ALB	0.811497	1	OLD_GSE52778
ALCAM	-0.866566	0.654397	OLD_GSE52778
ALDH16A1	-0.0931376	0.999906	OLD_GSE52778
ALDH18A1	0.348325	0.999906	OLD_GSE52778
ALDH1A1	0.606963	0.999906	OLD_GSE52778
ALDH1A2	0.113116	1	OLD_GSE52778
ALDH1A3	1.06156	0.0688103	OLD_GSE52778
ALDH1B1	-1.01297	0.114705	OLD_GSE52778
ALDH1L1	-4.54414	1	OLD_GSE52778
ALDH1L2	0.2874	0.999906	OLD_GSE52778
ALDH2	-0.362182	0.999906	OLD_GSE52778
ALDH3A1	2.6584	0.999906	OLD_GSE52778
ALDH3A2	0.959042	0.191893	OLD_GSE52778
ALDH3B1	-0.431723	0.999906	OLD_GSE52778
ALDH3B2	-0.686329	1	OLD_GSE52778
